Instancia,Minimo_Caixas,Tempo_Segundos
Falkenauer_u250_00,100,300.2898
Falkenauer_u250_01,100,96.3414
Falkenauer_u250_02,103,300.2339
Falkenauer_u250_03,101,300.2666
Falkenauer_u250_04,102,300.376
Falkenauer_u250_05,102,300.0976
Falkenauer_u250_06,102,14.4194
Falkenauer_u250_07,105,300.0816
Falkenauer_u250_08,106,300.1158
Falkenauer_u250_09,102,300.2094
Falkenauer_u250_10,106,300.0513
Falkenauer_u250_11,102,300.089
Falkenauer_u250_12,106,300.1746
Falkenauer_u250_13,103,300.2115
Falkenauer_u250_14,100,240.9444
Falkenauer_u250_15,106,300.2269
Falkenauer_u250_16,98,300.2619
Falkenauer_u250_17,101,300.038
Falkenauer_u250_18,101,300.3136
Falkenauer_u250_19,103,300.0851
